generation,individual_id,seed_value,raw_reward,shared_fitness
1,0,2106,-1189.401165119125,0.04287924721732507
1,0,2039,-974.9593420018621,0.04287924721732507
1,0,2028,-1187.7099531021304,0.04287924721732507
1,0,2119,-1472.0294700191298,0.04287924721732507
1,0,2060,-1836.8785396012133,0.04287924721732507
1,1,2106,-1184.8474899010562,0.04346280526352812
1,1,2039,-1030.875126088896,0.04346280526352812
1,1,2028,-1184.0054910383865,0.04346280526352812
1,1,2119,-1472.4435826598258,0.04346280526352812
1,1,2060,-1835.4054458250148,0.04346280526352812
1,2,2106,-909.0908147541166,0.0577456831992106
1,2,2039,-969.0154223755385,0.0577456831992106
1,2,2028,-864.1813560175556,0.0577456831992106
1,2,2119,-1502.8239696088071,0.0577456831992106
1,2,2060,-1827.5384015715265,0.0577456831992106
1,3,2106,-1158.5086214724183,0.04191697921099001
1,3,2039,-973.0754983663378,0.04191697921099001
1,3,2028,-1144.2747382221573,0.04191697921099001
1,3,2119,-1480.4858224193135,0.04191697921099001
1,3,2060,-1839.237020358579,0.04191697921099001
1,4,2106,-1168.6462663168966,0.041455659906450254
1,4,2039,-969.2244035293783,0.041455659906450254
1,4,2028,-1156.2040556337251,0.041455659906450254
1,4,2119,-1480.89859506608,0.041455659906450254
1,4,2060,-1839.478285911835,0.041455659906450254
1,5,2106,-1200.4166267787045,0.04667299364123159
1,5,2039,-967.5799200204764,0.04667299364123159
1,5,2028,-1197.6804312299307,0.04667299364123159
1,5,2119,-1461.639870236717,0.04667299364123159
1,5,2060,-1831.9990065858854,0.04667299364123159
1,6,2106,-1190.0576487866701,0.04392675487345607
1,6,2039,-977.5651354420846,0.04392675487345607
1,6,2028,-1188.258197182008,0.04392675487345607
1,6,2119,-1468.8436937311342,0.04392675487345607
1,6,2060,-1835.5569542557987,0.04392675487345607
1,7,2106,-1195.6664226795056,0.04348555112170556
1,7,2039,-1011.22308612373,0.04348555112170556
1,7,2028,-1192.7378784266002,0.04348555112170556
1,7,2119,-1470.474641798748,0.04348555112170556
1,7,2060,-1835.3809636408348,0.04348555112170556
1,8,2106,-1051.2914035084575,0.04426844192787515
1,8,2039,-966.2965500772805,0.04426844192787515
1,8,2028,-1037.2049920144798,0.04426844192787515
1,8,2119,-1488.6023203231355,0.04426844192787515
1,8,2060,-1839.9295491999278,0.04426844192787515
1,9,2106,-1185.1125045248546,0.042267545493893284
1,9,2039,-973.774612294696,0.042267545493893284
1,9,2028,-1182.4961088607886,0.042267545493893284
1,9,2119,-1474.670891182938,0.042267545493893284
1,9,2060,-1837.7797224065087,0.042267545493893284
1,10,2106,-1046.0212512981036,0.04673066025471729
1,10,2039,-970.4213068041731,0.04673066025471729
1,10,2028,-962.6681659166481,0.04673066025471729
1,10,2119,-1493.713608109516,0.04673066025471729
1,10,2060,-1837.908764423826,0.04673066025471729
1,11,2106,-1299.6201606733011,0.0633226983637062
1,11,2039,-966.6130295136569,0.0633226983637062
1,11,2028,-1327.7192619877796,0.0633226983637062
