generation,individual_id,seed_value,raw_reward,shared_fitness
1,19,2039,-969.3081324928978,0.05129247868665861
1,19,2028,-735.7963991271164,0.05129247868665861
1,19,2119,-1528.02174243097,0.05129247868665861
1,19,2060,-1816.8556402860195,0.05129247868665861
1,20,2106,-1109.3618018005213,0.04828400132034587
1,20,2039,-970.5037266789096,0.04828400132034587
1,20,2028,-844.990254007203,0.04828400132034587
1,20,2119,-1529.5537857827505,0.04828400132034587
1,20,2060,-1822.8429911892515,0.04828400132034587
1,21,2106,-1149.856155303528,0.05470834967868948
1,21,2039,-970.5735136066049,0.05470834967868948
1,21,2028,-861.3004895344424,0.05470834967868948
1,21,2119,-1544.569354829646,0.05470834967868948
1,21,2060,-1799.5050850452844,0.05470834967868948
1,22,2106,-1138.2933037316295,0.04974066075348017
1,22,2039,-969.0330194249615,0.04974066075348017
1,22,2028,-799.9436549446445,0.04974066075348017
1,22,2119,-1528.753416279695,0.04974066075348017
1,22,2060,-1819.0949312786743,0.04974066075348017
1,23,2106,-903.0195110236536,0.05530978205385327
1,23,2039,-972.2919800314934,0.05530978205385327
1,23,2028,-972.9435546428605,0.05530978205385327
1,23,2119,-1560.7821885220699,0.05530978205385327
1,23,2060,-1801.6419899792015,0.05530978205385327
1,24,2106,-1043.9205543953328,0.05598567061314628
1,24,2039,-932.0794913528471,0.05598567061314628
1,24,2028,-871.7379312918514,0.05598567061314628
1,24,2119,-1526.188048803501,0.05598567061314628
1,24,2060,-1802.617305021488,0.05598567061314628
1,25,2106,-1204.634318544768,0.04052287015859692
1,25,2039,-972.1252030579514,0.04052287015859692
1,25,2028,-1175.4875126589188,0.04052287015859692
1,25,2119,-1505.6539409902953,0.04052287015859692
1,25,2060,-1832.3084126979102,0.04052287015859692
1,26,2106,-1202.2427407080304,0.03872151451287695
1,26,2039,-988.8962535003498,0.03872151451287695
1,26,2028,-1189.2290895958495,0.03872151451287695
1,26,2119,-1521.9629402247683,0.03872151451287695
1,26,2060,-1835.1838100029865,0.03872151451287695
1,27,2106,-1247.8565045176517,0.03843057316733263
1,27,2039,-970.6550672436701,0.03843057316733263
1,27,2028,-1227.8241120724567,0.03843057316733263
1,27,2119,-1486.2881680621365,0.03843057316733263
1,27,2060,-1836.9036279565075,0.03843057316733263
1,28,2106,-1060.88703397271,0.05242765639621386
1,28,2039,-973.854512420157,0.05242765639621386
1,28,2028,-968.0407399549415,0.05242765639621386
1,28,2119,-1563.1279008952854,0.05242765639621386
1,28,2060,-1804.0025596111357,0.05242765639621386
1,29,2106,-1061.934948400598,0.04770704165945605
1,29,2039,-973.1258120946728,0.04770704165945605
1,29,2028,-931.6343712503358,0.04770704165945605
1,29,2119,-1540.7123018681093,0.04770704165945605
1,29,2060,-1821.9938221348905,0.04770704165945605
1,30,2106,-1061.064923610301,0.05210713906511314
