epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,842.099,0.2995,0.0234,0.02236,0.27238,0.85932,1,1,0.995,0.99396,1,1,0.995,0.995,0.15511,0.01259,0.0019,0.20549,0.64345,0.0008912,0.0008912,0.0008912
30,870.113,0.28771,0.02311,0.02041,0.26142,0.85388,1,1,0.995,0.99101,1,1,0.995,0.995,0.16784,0.01279,0.00088,0.20924,0.66874,0.0008516,0.0008516,0.0008516
31,898.504,0.28197,0.02171,0.02288,0.25929,0.85644,0.99982,1,0.995,0.99411,0.99982,1,0.995,0.995,0.18277,0.01468,0.00095,0.20891,0.71715,0.000812,0.000812,0.000812
32,926.626,0.28661,0.02155,0.02477,0.25946,0.85783,1,1,0.995,0.99447,1,1,0.995,0.995,0.16606,0.0108,0.00157,0.19893,0.69275,0.0007724,0.0007724,0.0007724
33,958.56,0.27547,0.01924,0.01982,0.25737,0.85627,1,1,0.995,0.99378,1,1,0.995,0.995,0.18456,0.01096,0.00124,0.19808,0.67256,0.0007328,0.0007328,0.0007328
34,991.142,0.2712,0.01992,0.02119,0.25,0.85418,1,1,0.995,0.9932,1,1,0.995,0.995,0.16152,0.01213,0.00126,0.19065,0.69462,0.0006932,0.0006932,0.0006932
35,1023.09,0.25079,0.01889,0.01954,0.23965,0.84613,0.99982,1,0.995,0.995,0.99982,1,0.995,0.995,0.14527,0.00822,0.00113,0.18212,0.6645,0.0006536,0.0006536,0.0006536
36,1055.34,0.25917,0.01782,0.01806,0.24629,0.85316,1,1,0.995,0.99467,1,1,0.995,0.995,0.14277,0.0076,0.00082,0.1933,0.67558,0.000614,0.000614,0.000614
37,1088.99,0.24634,0.01616,0.01995,0.23802,0.85316,1,1,0.995,0.995,1,1,0.995,0.995,0.12917,0.00839,0.00127,0.1785,0.64245,0.0005744,0.0005744,0.0005744
38,1121.59,0.24066,0.01747,0.01873,0.23088,0.8432,1,1,0.995,0.99496,1,1,0.995,0.995,0.12363,0.01028,0.00158,0.16726,0.62805,0.0005348,0.0005348,0.0005348
39,1153.75,0.24345,0.01618,0.01969,0.23507,0.84155,1,1,0.995,0.995,1,1,0.995,0.995,0.11863,0.00752,0.00183,0.16878,0.6324,0.0004952,0.0004952,0.0004952
40,1186.41,0.23619,0.0147,0.01592,0.23189,0.84691,1,1,0.995,0.995,1,1,0.995,0.995,0.11473,0.00924,0.00089,0.16433,0.6484,0.0004556,0.0004556,0.0004556
41,1241.53,0.13346,0.00992,0.00114,0.144,0.76127,0.99982,1,0.995,0.995,0.99982,1,0.995,0.995,0.10471,0.00758,0.00148,0.15488,0.60598,0.000416,0.000416,0.000416
42,1273.03,0.12571,0.00804,0.00105,0.13857,0.75948,1,1,0.995,0.995,1,1,0.995,0.995,0.10595,0.00705,0.00133,0.1652,0.62313,0.0003764,0.0003764,0.0003764
43,1304.49,0.11252,0.00651,0.00084,0.13217,0.76537,0.99982,1,0.995,0.995,0.99982,1,0.995,0.995,0.10092,0.00459,0.0009,0.16218,0.64501,0.0003368,0.0003368,0.0003368
44,1336.64,0.10721,0.00561,0.00072,0.12481,0.76298,1,1,0.995,0.995,1,1,0.995,0.995,0.10096,0.00477,0.00087,0.15466,0.64287,0.0002972,0.0002972,0.0002972
45,1369.52,0.10179,0.00492,0.00064,0.11923,0.75648,1,1,0.995,0.995,1,1,0.995,0.995,0.104,0.00415,0.00063,0.17088,0.68012,0.0002576,0.0002576,0.0002576
46,1400.53,0.09956,0.00481,0.0006,0.11691,0.75905,1,1,0.995,0.995,1,1,0.995,0.995,0.09035,0.00361,0.00069,0.1402,0.63917,0.000218,0.000218,0.000218
47,1427.51,0.09343,0.00422,0.00056,0.10946,0.75735,1,1,0.995,0.995,1,1,0.995,0.995,0.08449,0.00314,0.00065,0.1404,0.63423,0.0001784,0.0001784,0.0001784
48,1455.66,0.08777,0.00394,0.00054,0.10562,0.76165,0.99983,1,0.995,0.995,0.99983,1,0.995,0.995,0.08233,0.00279,0.00057,0.14071,0.64959,0.0001388,0.0001388,0.0001388
49,1486.19,0.08324,0.00402,0.0005,0.10114,0.75859,1,1,0.995,0.995,1,1,0.995,0.995,0.07794,0.00272,0.00058,0.13213,0.62896,9.92e-05,9.92e-05,9.92e-05
50,1513.59,0.07961,0.00368,0.00048,0.09677,0.75369,1,1,0.995,0.995,1,1,0.995,0.995,0.07417,0.0026,0.00057,0.12284,0.62468,5.96e-05,5.96e-05,5.96e-05
