gen,best_fitness,max_raw_reward,avg_raw_reward
1,0.13025374218603133,-1286.3912399828696,-1622.604044742767
2,0.09798040616270291,-921.4343560579528,-1352.9315932352117
3,0.09482122207872021,-1071.085946826948,-1426.8972139533744
4,0.07948107053922238,-1046.2142380131813,-1360.7195056928656
5,0.11960066812066239,-747.6104887974619,-1260.6022179571635
6,0.10721312732706349,-665.4421366727292,-1222.8243912612195
7,0.08305006980745361,-804.677701307837,-1241.9979169615265
8,0.1106825933511995,-679.7774476526073,-1217.1666639144055
9,0.09202008249888681,-755.2106148983705,-1205.499214720884
10,0.09060580382696047,-728.8710398903031,-1191.275846672736
11,0.08098621558729854,-969.354673518506,-1271.2923425803162
12,0.09584622207235591,-726.2056356744033,-1197.2306602522106
13,0.11164958484759212,-637.9612196742461,-1147.0592226564208
14,0.07015031054477637,-1052.9516299274387,-1366.2159982755138
15,0.13196054328940846,-633.796826886632,-1246.463072796422
16,0.08870496236788851,-834.8771201187246,-1258.0933954323261
17,0.08289104618497006,-1056.2022953764094,-1353.2534942363245
18,0.09167656750490281,-804.1182430173965,-1221.2043424986202
19,0.09350176232465635,-799.4733930519919,-1230.8569164873406
20,0.09303299563142767,-852.9037873694815,-1248.6209794255865
21,0.09260385794056211,-873.944759439279,-1269.057161400434
22,0.09112425638544297,-787.0310026168328,-1170.4459183696588
23,0.10526072266797887,-765.471998195778,-1189.874266780579
24,0.09645326739392421,-736.1556054351012,-1207.4906884621764
25,0.09543432403955754,-758.1731988298304,-1236.3050130417746
26,0.09616466834093414,-806.0749780468034,-1256.8150757361436
27,0.07590855199451185,-890.2452074222377,-1238.5455616540553
28,0.08328461373509694,-959.7712225943696,-1308.9015976321334
29,0.08372508360207465,-861.2422947097224,-1248.252332810503
30,0.0889754619695424,-795.4878739279751,-1186.4555434163442
31,0.09319165344488242,-761.3621134463153,-1164.777232010342
32,0.09382523726170931,-754.2916524723336,-1179.5847315613923
33,0.10355167165874045,-741.093784785139,-1178.0067893515081
34,0.09940080217465859,-781.650363402684,-1230.950743959479
35,0.0816471677735184,-956.8009582566783,-1285.8858145766774
36,0.09392940140158229,-797.0561602333166,-1213.194267826377
37,0.09811847946583968,-708.3810376106434,-1159.6199111519807
38,0.08676157084390052,-846.1406663239068,-1266.5553365318715
39,0.105773751200818,-784.9109173253903,-1233.9735035572771
40,0.10002437429718919,-736.4549629403359,-1155.4160684957524
41,0.0989127772720483,-735.724420504706,-1164.4171434303316
42,0.10384887040999502,-732.9900006220694,-1187.3130778387497
43,0.08989356258559017,-797.8793809532144,-1226.0920479788865
44,0.10707201579196893,-757.5977882236535,-1201.7024205131993
45,0.09263565860505926,-756.1889492656968,-1146.335673767561
46,0.09136354593415791,-778.1573037776872,-1156.3649416040432
47,0.09236944103220893,-717.7032124650468,-1102.285074236451
48,0.09524687204352258,-770.2536870497082,-1143.0770658069323
49,0.09006916534322246,-773.0373518556967,-1149.1861455573746
50,0.09459416498975078,-769.2242206645842,-1171.4169995543123
51,0.1022728968322966,-802.3307794950797,-1178.783047756066
52,0.09769009964078391,-729.1418951334624,-1140.6446559736628
53,0.08376586524870121,-782.2521613436459,-1156.2113127642249
54,0.10140759305753691,-687.5341178031958,-1157.4421954455759
55,0.08239080460827364,-1030.9796768458727,-1281.1047623877807
56,0.0820539868782968,-892.6639508833316,-1213.6349731410176
57,0.09216352156935813,-769.2024299342813,-1129.8926714979561
58,0.08835658156521427,-807.9459187421717,-1122.637191760859
59,0.0850420956404939,-824.7876142180069,-1165.4491461363612
60,0.09632657375854747,-728.8331741652552,-1156.5637580798448
61,0.10422699863355153,-709.8473746818578,-1148.1446104330614
62,0.10002476503533558,-659.9034118603274,-1098.173666513058
63,0.0919799275573934,-718.4993348056546,-1109.740094536845
64,0.09474835742599132,-678.7542593848419,-1076.6396926116772
65,0.09601054399783303,-691.174974170712,-1098.2278477204609
66,0.08640540732928949,-777.4573616429217,-1107.3503933836257
67,0.09173449227241262,-797.3994534173961,-1120.9416299122195
68,0.08985943898796091,-695.0748666865304,-1078.0632118830606
69,0.08972110501145407,-671.3092366579287,-1007.2369968278725
70,0.08798158382471932,-778.2539372633737,-1086.01174430978
71,0.08373440231852378,-1008.3840496986459,-1225.2823138499364
72,0.08754748245922545,-726.4727730795115,-1102.1455656738865
73,0.08538750096348405,-728.7538253838878,-1089.7360818749291
74,0.07746721005509223,-885.0675100151954,-1131.2044369679247
75,0.08356254339090664,-729.9879455570766,-1087.9532045245248
76,0.09084053517923439,-722.9898988723231,-1082.2932094222044
77,0.07171267233611975,-871.7859914751695,-1154.2024388647344
78,0.09469917776755163,-668.7239980861124,-1099.1645505414715
79,0.13768650115139397,-892.9842845447962,-1218.5659495650139
80,0.10579267647553277,-687.7765219230329,-1161.4323778353357
81,0.08615433109496892,-823.2080250319632,-1100.130389930479
82,0.07754697977310249,-922.564102480546,-1179.5691964783846
83,0.08325228127023938,-766.7016441552101,-1100.8067313592135
84,0.0866873443241873,-803.1513896395896,-1115.5234548855892
85,0.07996696470040668,-870.1507949862751,-1191.774782032028
86,0.08376818112128485,-876.261334956445,-1169.1157190586416
87,0.09089183402775651,-803.4568815081095,-1154.549721960817
88,0.08333726734949207,-787.4733080303938,-1090.3832220307427
89,0.08511007171725038,-728.1008822881596,-1074.13961030023
90,0.07798739628059859,-858.9740126377689,-1171.8151367428043
91,0.0800593829465018,-750.4171603670541,-1052.4463826667018
92,0.08654078888901248,-762.5762790525959,-1075.279700924048
93,0.0835328892589063,-706.6307632783312,-1048.5253525606602
94,0.08074555456082184,-679.0763805360033,-1012.6051032601423
95,0.08640868210774968,-597.7401104330993,-995.3961934420004
96,0.08765968630017816,-980.4599189404496,-1197.7855353655627
97,0.08841943446844897,-667.1593885374365,-1094.0093786387934
98,0.0814535425877693,-681.2411047291746,-998.0976626841266
99,0.07304155868898317,-984.2185996554696,-1205.0411425298828
100,0.07459456748887765,-863.7558203689765,-1169.831750723768
