generation,individual_id,seed_value,raw_reward,shared_fitness
1,0,2106,-776.3790901626671,0.07874011094936582
1,0,2039,-896.8374016013092,0.07874011094936582
1,0,2028,-1473.7013023560337,0.07874011094936582
1,0,2119,-1775.0387499254289,0.07874011094936582
1,0,2060,-1870.6910421508162,0.07874011094936582
1,1,2106,-1197.652059609463,0.10358460775630392
1,1,2039,-1357.4134319302168,0.10358460775630392
1,1,2028,-1283.895623538675,0.10358460775630392
1,1,2119,-1437.3374159831724,0.10358460775630392
1,1,2060,-1718.0155561286326,0.10358460775630392
1,2,2106,-1580.0313616344056,0.027534785591924876
1,2,2039,-1702.6228260397957,0.027534785591924876
1,2,2028,-1697.258814501729,0.027534785591924876
1,2,2119,-1870.948913022719,0.027534785591924876
1,2,2060,-1924.7750406836005,0.027534785591924876
1,3,2106,-1594.4125827453952,0.01718783229362294
1,3,2039,-1791.636358892636,0.01718783229362294
1,3,2028,-1765.500813042148,0.01718783229362294
1,3,2119,-1916.1795324035625,0.01718783229362294
1,3,2060,-1958.5009529438832,0.01718783229362294
1,4,2106,-1637.4489129445312,0.021403951970621043
1,4,2039,-1749.0919503716805,0.021403951970621043
1,4,2028,-1734.994863443414,0.021403951970621043
1,4,2119,-1892.184573722228,0.021403951970621043
1,4,2060,-1941.4656074626018,0.021403951970621043
1,5,2106,-1476.7166086731106,0.040360841963660764
1,5,2039,-1623.1357489840007,0.040360841963660764
1,5,2028,-1619.8834121561579,0.040360841963660764
1,5,2119,-1810.4542124536727,0.040360841963660764
1,5,2060,-1890.9785093730864,0.040360841963660764
1,6,2106,-1570.669823667863,0.031084596425252933
1,6,2039,-1730.120402271229,0.031084596425252933
1,6,2028,-1713.4431396096336,0.031084596425252933
1,6,2119,-1861.424440913226,0.031084596425252933
1,6,2060,-1893.5337646984253,0.031084596425252933
1,7,2106,-1290.7892415427214,0.049949102301263065
1,7,2039,-1649.6378303357512,0.049949102301263065
1,7,2028,-1649.408616854891,0.049949102301263065
1,7,2119,-1807.7583960145273,0.049949102301263065
1,7,2060,-1832.1165125072757,0.049949102301263065
1,8,2106,-1307.7465301464513,0.057305086076539266
1,8,2039,-1340.962539169787,0.057305086076539266
1,8,2028,-1412.4214106525492,0.057305086076539266
1,8,2119,-1726.1649656458715,0.057305086076539266
1,8,2060,-1904.5558378349053,0.057305086076539266
1,9,2106,-1511.394388044295,0.025520099593501537
1,9,2039,-1757.7429491997048,0.025520099593501537
1,9,2028,-1735.5832572000916,0.025520099593501537
1,9,2119,-1888.8988321662007,0.025520099593501537
1,9,2060,-1926.767546103529,0.025520099593501537
